address,script_type,current_balance_btc,total_received_btc,n_unspent_utxos,n_received_outputs,oldest_unspent_height,last_seen_height
bc1qd46j77pkp5vdxraf8tw5l6xs36dlygdx2rt9ly,p2wpkh,9500.00338767,9500.00338767,17,17,849716,929032
1P9fAFAsSLRmMu2P7wZ5CXDPRfLSWTy9N8,p2pkh,9424.78451385,0.00207742,72,41,490038,950592
17MWdxfjPYP2PYhdy885QtihfbW181r1rn,p2pkh,9343.34121566,38332.23190418,67,59,661258,949431
1HLvaTs3zR3oev9ya7Pzp3GB9Gqfg6XYJT,p2pkh,9260.01679268,0.00048235,122,40,45795,950592
33eU1zeB2S4x3p4ccSsnAChXcGJgtMrMtZ,p2sh,9252.09058316,4812.65998017,54,42,598256,950592
bc1qvzgrkefd8v536de2vqhx4d25e5rly7lgk3p2vp,p2wpkh,9143.84421111,88479.52137075,130,246,916364,950524
162bzZT2hJfv5Gm3ZmWfWfHJjCtMD6rHhw,p2pkh,9137.30851947,194357.17595240,452,1234,762959,950639
bc1qukqenm2t85dhdta9glqehllglxznsu4qyxn079,p2wpkh,9111.90946022,9111.90946022,9,9,850818,929032
bc1qffyax9rrxmqyq8xwjkzrrqwqjp3ppz5a4665f9,p2wpkh,9099.00278977,9099.00278977,10,10,851432,935755
1LVYbnSX6f6vE2Zn4zs2oZ4eKyBgzkqaay,p2pkh,9092.33609713,17822.33150999,84,96,771716,949531
167ZWTT8n6s4ya8cGjqNNQjDwDGY31vmHg,p2pkh,8999.00686402,0.00081159,91,51,73272,950592
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,p2pkh,8862.00191320,1094869.64656475,73,292,805949,950052
bc1q8wyf76hse8w4dr0qmmapmnuywlpf2upv5are5y9993gdsnvdt97qsem5pp,p2wsh,8613.64901246,8613.64901246,2,2,928631,933611
3CybbwzZmteP8gSwk5c7r8jirMziPVGkqw,p2sh,8611.05716156,8611.05716156,13,13,850818,933609
